Year,January,February,March,April,May,June,July,August,September,October,November,December
2006,31052,28872,33914,30542,32253,30392,30311,28061,4508,51,43,37
2007,64,49,55,43,38,51,52,44,41,35,44,43
2008,62,58,49,41,39,48,46,51,37,43,52,34
2009,51,40,48,39,67,50,40,40,40,36,48,36
2010,46,31,48,48,56,45,37,40,44,41,52,45
2011,40,51,59,44,53,46,51,45,44,39,44,31
2012,44,38,42,41,43,38,36,36,34,38,32,30
2013,46,30,34,46,37,31,44,32,18,37,20,40
2014,36,21,34,55,37,46,43,32,30,34,22,27
2015,20,112,69,24,36,27,35,29,29,25,30,91
2016,64,7297,24905,26683,27930,26266,24368,26720,24845,26718,23247,23242
2017,25575,22974,25402,24859,24819,23240,23287,23892,22340,24523,22822,20120
2018,23645,21478,22257,21129,21834,19362,20676,21177,18305,19289,17805,17241
2019,19945,17579,19566,19059,19459,17330,19437,17975,16536,17304,15404,13495
2020,16040,15304,13079,8247,13491,8013,7353,9701,11152,12858,11352,12397
2021,13410,11528,13840,10296,11701,12721,13454,13599,13609,14341,12965,12547
2022,12722,13941,16751,15919,16425,16203,15623,15597,15736,16991,16533,15229
2023,18668,16633,18855,,,,,,,,,
