Year,DANGEROUS DRUGS,ASSAULT 3 & RELATED OFFENSES,PETIT LARCENY,FELONY ASSAULT,VEHICLE AND TRAFFIC LAWS,MISCELLANEOUS PENAL LAW,ROBBERY,DANGEROUS WEAPONS,GRAND LARCENY,OTHER OFFENSES RELATED TO THEFT
2006,64545,21864,3768,8551,3889,7226,8059,9113,4556,10033
2007,87,54,,20,,10,24,17,2,2
2008,92,58,,20,1,10,28,28,1,3
2009,96,63,,16,1,8,21,24,,
2010,89,61,,14,,5,21,19,,
2011,81,69,,34,,8,12,25,1,1
2012,55,40,,29,,5,18,19,,
2013,44,41,,39,,6,11,13,,
2014,70,39,,42,,4,12,7,,
2015,66,59,14,47,12,13,24,25,8,19
2016,44249,29641,20329,12974,16506,11301,8627,10855,8487,22387
2017,48625,33896,23020,15009,20772,12812,9581,10743,9788,19911
2018,32594,34318,23418,15193,19163,12060,9024,9636,10419,7359
2019,21071,31988,21627,15208,14243,12325,9259,7921,9913,
2020,11289,23731,11406,13475,4589,9133,7948,6710,6542,
2021,10450,26855,13178,15579,5264,10328,7848,7206,6671,
2022,10646,30570,20619,18853,7199,12510,9934,7981,9012,
2023,3623,7888,5868,4948,3563,3466,2659,2208,2407,
